task,pass,neg_runs,n_runs,ratio,score,broke_baseline,pairing_error,missing_patch,category
django-15851,true,0,5,2.67,1.49,false,false,false,Medium
django-11119,true,0,5,3.09,1.55,false,false,false,Medium
sympy-24539,true,0,5,2.88,1.54,false,false,false,Medium
django-14580,true,0,5,5.40,1.73,false,false,false,Medium
django-14855,true,0,5,3.96,2.28,false,false,false,Medium
django-10914,true,0,5,3.24,1.57,false,false,false,Medium
django-11603,true,0,5,3.05,2.12,false,false,false,Medium
sympy-17139,false,3,5,3.90,-0.25,true,false,false,Hard
sympy-16766,true,0,5,1.55,0.82,false,false,false,Easy
