category_scores,hotkey,last_submit,screener_passed,status,total_score
"{'Easy': 0.834070463026718, 'Medium': 1.033015227333868, 'Hard': 1.353058982046159}",5DCyrgZPMoxDoTzbbTVjgsek4hh7V2TPMetwA3RJ1WzAkrEc,2026-06-09T21:39:56.667745Z,True,scored,1.0781677793577593
"{'Easy': 1.0201491321543426, 'Medium': 0.8820322283817692, 'Hard': 1.3279939211113616}",5CaXJvVUAib6BoejpHeUgvgmno88iJhCPmDxQ539rgN3p8Uy,2026-06-10T13:09:58.081636Z,True,scored,1.0778566131170546
"{'Easy': 1.0679492850340582, 'Medium': 1.259591043541728, 'Hard': 0.9014026245082212}",5C5KNxMNSM8TnprZC5xKoZE8iHZNafFqoFaVBidz3CRRQAcu,2026-06-15T22:22:13.319935Z,True,scored,1.0764816183478807
"{'Easy': 0.6174284737154174, 'Medium': 0.9909820379478749, 'Hard': 1.512274192699886}",5HQwXjLCKzjZo8kwzhKuRXXPmKZF1PCoocVtRdawsELLwUnG,2026-06-10T09:26:11.212199Z,True,scored,1.0613161101446504
"{'Easy': 1.0812096636416886, 'Medium': 0.966124821224219, 'Hard': 1.1100168595139497}",5HGV7HPNry8TM8Yg1VkL7ixzfGXpBhVNXVpn2bdNLBSRKXwo,2026-06-16T03:21:19.167139Z,True,scored,1.0518752638163171
"{'Easy': 0.9461056854567191, 'Medium': 0.9753760293299107, 'Hard': 1.220159137933452}",5H3CxYwb9jkESJxpScniak1gxb33SopnaPMdDMEkeAXUPZF7,2026-06-12T15:01:24.394578Z,True,scored,1.0492357762156947
"{'Easy': 0.3415582796201999, 'Medium': 1.0697119302521871, 'Hard': 1.307325533958859}",5DqgraCiBfmJjNmCcDWPzVDGRKVYiXKNG5vyjshtUteFd8JA,2026-06-10T20:22:26.260971Z,True,scored,1.0423947073494935
"{'Easy': 0.7908653013346045, 'Medium': 1.2410712369197112, 'Hard': 1.056855048810311}",5GKM3GACUxC87qn6VecDGASrNyYDKmJRX5hLDsBaXtdCGvPF,2026-06-14T23:39:01.586509Z,True,scored,1.03437183357528
"{'Easy': 0.8743583661447438, 'Medium': 0.8980962117977134, 'Hard': 1.2795072888676309}",5FUQmobmRADjsKxoy1eCx9VJPU6WduHDG1y24C5ZbJ56Bg8z,2026-06-10T13:26:03.656629Z,True,scored,1.0201798673925353
"{'Easy': 0.05953963564794851, 'Medium': 0.9983856831924012, 'Hard': 1.4754642448680855}",5FeUW5dDrHikuYCigbncMNGGsxpsMXGDCHDAfbX8894NjVK6,2026-06-11T08:07:33.994195Z,True,scored,1.0066460240649322
"{'Easy': 0.8318567158417922, 'Medium': 1.1324828769747022, 'Hard': 0.8406310926009306}",5FCRm5fGMYtiii42ProB2cTGoYdYkj7Navn1FPN3ZoP3YpyX,2026-06-12T14:21:08.207365Z,True,scored,1.0034542794501853
"{'Easy': 0.9777231914891926, 'Medium': 1.0701512058898413, 'Hard': 0.9347500125828843}",5EPN2pxZRBU4zWAgBWjcWfLwdr7jXAQd21w1U46qYUgn2wvA,2026-06-16T01:21:18.067257Z,True,scored,0.994537835557268
"{'Easy': -0.42738180206164333, 'Medium': 1.0208502788699354, 'Hard': 1.1546524614330798}",5CzMuu21NGJYVywTq6bZPrbpS42n6J9v1vx7WHyJcmVtC5Qj,2026-06-16T13:35:49.139071Z,True,scored,0.9899105972040996
"{'Easy': 0.7252816206150339, 'Medium': 0.8328841961545281, 'Hard': 1.3764803912641428}",5D9iuzMxcNajPdLJNoHjUA4Tc7i86jrnJ1ZnHde62z1PermG,2026-06-13T02:32:40.982246Z,True,scored,0.9853464503632559
"{'Easy': -0.5734860661790058, 'Medium': 1.0696636046750907, 'Hard': 1.1148065282947277}",5HLBjkGJVbgeQv3WpU2ND4cYAFNS5YQ2Dnb1Gh1MgsiQAyWy,2026-06-12T07:30:30.842594Z,True,scored,0.9764428371368634
"{'Easy': 0.6998714181681525, 'Medium': 0.7231879972124045, 'Hard': 0.7762531302351938}",5GYho2fchpYv3BAECHMTV199uTyrMDBHfdShFJr7c7GekWeh,2026-06-11T15:02:08.156550Z,True,scored,0.9730394980366155
"{'Easy': -0.1658113257546332, 'Medium': 1.1027246460773013, 'Hard': 1.2399855219012954}",5E2TP68WLmQJcwFhQqTaMwbh3bQj6rAy7TSYKTtQnt6iTPvP,2026-06-14T04:55:02.129057Z,True,scored,0.9730276279226455
"{'Easy': 0.8188866392123701, 'Medium': 0.6938546989018306, 'Hard': 1.3923298014317131}",5EJ65CAaEH1xDaHsUyQfZg6GH3UDeS26iuz6E4H117MJyg3C,2026-06-14T17:04:53.466671Z,True,scored,0.9713464546613633
"{'Easy': -1.443388458682647, 'Medium': 0.9040612336888776, 'Hard': 1.012928572387704}",5EyhoYp17rKjUJmKJ6ZrZvkap4zxtaqb5Hy1kUESNc2iSWNy,2026-06-14T04:46:21.775577Z,True,scored,0.9663223253313573
"{'Easy': -0.5464843754808579, 'Medium': 0.8450510104479525, 'Hard': 1.0514136378722618}",5D581UDhZYmDP8QMwuKgsp5iadbVRDZGzLvgztGBSPdS1b2m,2026-06-16T03:04:42.123893Z,True,scored,0.9660477959889375
"{'Easy': 0.7593496897454521, 'Medium': 0.8894531459541852, 'Hard': 1.206370402296237}",5Ehwp7iECedzFb6FDCMU8frZzTennXiXuwtsDfyC1U1SwuCD,2026-06-10T12:50:08.699655Z,True,scored,0.9555719071236881
"{'Easy': 0.9135687420205816, 'Medium': 0.8045642564633173, 'Hard': 1.14242224193318}",5Ci8CKrgxxZgXoCySseLLz5Q7P2QLkKLsApGyd38YuJbMmG1,2026-06-11T14:30:50.440113Z,True,scored,0.9543174069013958
"{'Easy': 0.8771042506305999, 'Medium': 1.1353806848759689, 'Hard': 0.8393197883447172}",5DJkgwhA1CudZV2ajWswu3Z9Fq43wB1p6uqCTZag1Fq2WEXK,2026-06-12T23:57:17.705587Z,True,scored,0.9520715210968254
"{'Easy': 0.8945113558615496, 'Medium': 0.8265747288783505, 'Hard': 1.1085105533938204}",5GBPFAAeKQ8KTesZyQWcXgvumdUAcrrexJiLEzE75ZzkjjxN,2026-06-11T20:35:54.073774Z,True,scored,0.9441726298482331
