name,hotkey,task_id,task_name,is_screener,pass_without,pass_with,tokens_without,tokens_with,comp_ratio,platform_score,run_count
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,248,sympy__sympy-16766,False,True,True,1062450,692194.8,1.535,0.8118717853075701,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,249,django__django-13933,False,True,True,1156016,340031,3.4,1.5903504606543788,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,250,sympy__sympy-17139,False,True,False,1230544,317934.8,3.87,-0.246472151547325,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,251,django__django-14089,False,True,True,441256,193541.6,2.28,1.3868053823584823,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,252,sympy__sympy-17655,False,True,True,1091029,301663.2,3.617,1.6292044830265724,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,253,django__django-14373,True,True,True,479159,338576.8,1.415,1.1815958006040976,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,254,sympy__sympy-19637,True,True,True,532579,366222.4,1.454,1.178175607060309,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,255,django__django-14493,False,True,True,603445,321746,1.876,0.6207106712468151,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,256,sympy__sympy-19954,False,True,True,2404963,328363.4,7.324,2.0111719128224252,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,257,django__django-14539,False,False,True,2017063,698617.2,2.887,1.48199300036854,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,258,sympy__sympy-21847,False,True,True,709077,343131.4,2.066,1.3543609309239835,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,259,django__django-14580,False,True,True,759937,161956.4,4.692,1.6650386830658395,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,260,sympy__sympy-22714,False,False,True,1513961,635841.8,2.381,1.3196981573812416,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,261,django__django-14752,False,True,True,546890,221733,2.466,2.014138809825762,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,262,sympy__sympy-23534,False,True,True,1651100,661630.8,2.496,0.34333308342036284,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,263,django__django-14855,False,True,True,1576654,457911.6,3.443,2.213196857667856,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,264,sympy__sympy-24539,False,True,True,935869,373721.6,2.504,1.477882336885628,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,265,django__django-14915,False,True,True,1189263,207871.6,5.721,1.7804075492773943,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,266,sympy__sympy-24562,False,False,False,2565539,442966.8,5.792,-0.6719206413504016,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,217,django__django-10880,False,True,True,1126760,530817,2.123,1.353760836112656,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,218,django__django-14999,False,False,False,1584982,679981,2.331,0.1509488705582516,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,219,django__django-10914,False,True,True,1229179,531305,2.314,1.4166075568557783,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,220,django__django-15315,False,True,True,2228314,534015.4,4.173,1.7005005098012673,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,221,django__django-11119,False,True,True,885390,278716.4,3.177,-0.6563060298354305,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,222,django__django-15499,False,True,True,884630,436408.2,2.027,0.234562395582924,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,223,django__django-11133,False,True,True,1133375,447749.4,2.531,1.4206409677531966,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,224,django__django-15569,False,True,True,1827000,422825.8,4.321,1.6677946192222284,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,225,django__django-11239,False,True,True,432782,361540.2,1.197,0.37953323372362924,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,226,django__django-15851,False,True,True,439968,260977.4,1.686,0.2600802376806122,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,227,django__django-11299,False,False,True,917488,1080484.8,0.849,1.6494861536200969,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,228,django__django-15863,True,True,True,574499,471647.4,1.218,1.0741454244504718,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,229,django__django-11490,False,False,False,1021877,614731.8,1.662,0.02274787131142119,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,230,django__django-15930,False,False,False,713141,924549.6,0.771,1.464775759189624,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,231,django__django-11555,False,False,False,2033013,592727.8,3.43,0.4738469500879714,5
